ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000002.SH,20130604,2378.645,2404.469,2404.469,2370.646,2406.692,-28.047,-0.011654,101263784.0,92102644.355
000002.SH,20130603,2406.692,2407.795,2421.554,2401.322,2408.246,-1.554,-0.0006450000000000001,96378069.0,91384720.834
000002.SH,20130531,2408.246,2429.209,2434.278,2406.84,2426.039,-17.793,-0.007334,107381642.0,100248718.154
000002.SH,20130530,2426.039,2424.448,2434.431,2418.438,2432.596,-6.557,-0.0026950000000000003,111487345.0,103328116.68
000002.SH,20130529,2432.596,2432.105,2443.463,2429.636,2429.763,2.833,0.001166,124831713.0,114100962.446
000002.SH,20130528,2429.763,2400.457,2430.587,2387.952,2400.137,29.626,0.012343,132163721.0,120118502.832
000002.SH,20130527,2400.137,2393.403,2409.231,2390.553,2395.361,4.776,0.001994,106908965.0,99702443.926
000002.SH,20130524,2395.361,2388.004,2399.706,2376.218,2381.915,13.446,0.005645,101039250.0,91825931.989
000002.SH,20130523,2381.915,2400.86,2412.611,2380.281,2409.891,-27.976,-0.011609000000000001,123521352.0,110804767.369
000002.SH,20130522,2409.891,2411.304,2422.225,2399.432,2412.729,-2.838,-0.001176,127777980.0,115009783.852
000002.SH,20130521,2412.729,2404.354,2412.925,2397.017,2407.362,5.367,0.002229,123649042.0,112778332.081
000002.SH,20130520,2407.362,2393.037,2417.232,2388.354,2389.407,17.955,0.007514,138393885.0,128462546.607
000002.SH,20130517,2389.407,2354.709,2394.895,2353.248,2356.807,32.6,0.013832,125522290.0,110945796.731
000002.SH,20130516,2356.807,2324.869,2357.95,2313.782,2328.506,28.301,0.012154,109658917.0,101963930.784
000002.SH,20130515,2328.506,2320.439,2328.914,2316.76,2320.356,8.15,0.003512,71455180.0,66519655.644
000002.SH,20130514,2320.356,2343.324,2344.445,2308.726,2346.492,-26.136,-0.011137999999999999,82854160.0,75458792.284
000002.SH,20130513,2346.492,2352.512,2355.84,2335.433,2351.609,-5.117,-0.002176,85843461.0,79004428.952
000002.SH,20130510,2351.609,2332.716,2352.518,2329.584,2337.069,14.54,0.006221,89774459.0,81009188.149
000002.SH,20130509,2337.069,2351.785,2352.723,2324.977,2351.067,-13.998,-0.005954,98176998.0,90986780.246
000002.SH,20130508,2351.067,2346.996,2360.426,2339.645,2339.802,11.265,0.004815,89896807.0,81155597.799
000002.SH,20130507,2339.802,2331.704,2344.751,2322.891,2335.172,4.63,0.001983,86022469.0,78832590.143
000002.SH,20130506,2335.172,2315.652,2340.34,2315.652,2308.326,26.846,0.01163,91703437.0,81338853.081
000002.SH,20130503,2308.326,2280.844,2326.565,2280.844,2275.669,32.657,0.014351000000000001,88067610.0,78028668.086
000002.SH,20130502,2275.669,2272.1,2281.431,2262.083,2279.54,-3.871,-0.001698,67882753.0,59633032.371
000002.SH,20130426,2279.54,2306.6,2313.634,2275.275,2301.744,-22.204,-0.009647,76200296.0,64945470.54
000002.SH,20130425,2301.744,2316.331,2328.349,2293.947,2321.733,-19.989,-0.00861,96113420.0,84205483.244
000002.SH,20130424,2321.733,2289.335,2329.936,2285.871,2286.363,35.37,0.01547,91148361.0,78772714.833
000002.SH,20130423,2286.363,2347.215,2347.215,2284.56,2346.766,-60.403,-0.025739,96039389.0,81968816.049
